Price,Close,High,Low,Open,Volume
Ticker,TIP,TIP,TIP,TIP,TIP
Date,,,,,
2005-01-03,55.212520599365234,55.22296195234378,55.06115283885131,55.06637351534058,110100
2005-01-04,54.83149719238281,55.536137224682676,54.83149719238281,55.19686491810584,136400
2005-01-05,54.768836975097656,54.88366791911717,54.64878535665694,54.805373731630425,221400
2005-01-06,54.857566833496094,54.94108169282247,54.779272648429526,54.80537203752094,204800
2005-01-07,54.71666717529297,54.98808263607669,54.67490972526174,54.94632518604546,219600
2005-01-10,54.753173828125,54.80014794691187,54.70097903540377,54.79493125518495,132200
2005-01-11,54.80539321899414,54.88368743432026,54.75319840284646,54.768856449469844,121700
2005-01-12,54.998504638671875,55.01416268137195,54.77928009424609,54.78450076921552,482700
2005-01-13,55.13944625854492,55.165545658403815,54.988078500223864,55.00373654725547,169500
2005-01-14,55.14466094970703,55.26470861872591,54.988072531968015,54.988072531968015,206700
2005-01-18,55.14466094970703,55.14466094970703,54.96197711715077,54.99851388366202,166300
2005-01-19,55.092445373535156,55.10288273908644,54.97239376755481,55.092445373535156,152400
2005-01-20,55.11853790283203,55.149857962266594,54.98804893810838,54.993269611715334,156600
2005-01-21,55.19683837890625,55.22293776771314,55.014154603880954,55.01937527808386,168400
2005-01-24,55.29078674316406,55.30122410863351,55.14986040718608,55.212492564417474,139800
2005-01-25,54.935874938964844,55.24904777637944,54.85758073405903,55.19685296717846,207400
2005-01-26,55.00373077392578,55.05592956816464,54.93587791650773,54.96719400728392,122100
2005-01-27,54.98807144165039,55.040266252458835,54.89411918931167,54.935876630841946,106400
2005-01-28,55.202083587646484,55.222962311530004,55.040274473101555,55.118568692112405,175800
2005-01-31,55.23336410522461,55.238584778385075,55.066338403951136,55.10287515166075,166400
2005-02-01,55.14031219482422,55.23440844725768,55.077580030431136,55.20304037090498,228600
2005-02-02,55.046180725097656,55.13504824323153,54.91026311669247,55.05663408498586,154400
2005-02-03,54.95212173461914,54.98871450146524,54.889389567891925,54.89461824553064,149800
2005-02-04,55.307586669921875,55.464411077713436,55.2291724718702,55.24485451381818,130900
2005-02-07,55.49055862426758,55.516694035249344,55.28668407237283,55.30759479414567,133700
2005-02-08,55.76240539550781,55.76240539550781,55.49057391418494,55.49057391418494,111000
2005-02-09,56.06562042236328,56.10221320856092,55.74673871907768,55.74673871907768,113100
2005-02-10,55.74149703979492,55.976739743333745,55.73627234892406,55.90877887887616,108000
2005-02-11,55.76765060424805,55.86174691188757,55.715375764073784,55.73628649780642,135000
2005-02-14,55.97676086425781,55.997671600572126,55.856525127529295,55.87743586384361,138000
2005-02-15,55.68401336669922,55.85652394640811,55.6369672022232,55.80424910088528,139000
2005-02-16,55.53762435913086,55.65263137531725,55.433074701678024,55.647402695950476,142200
2005-02-17,55.46963882446289,55.54282434453428,55.385995951060316,55.40690666941096,202200
2005-02-18,55.41212844848633,55.427810488219315,55.2448467108158,55.2448467108158,172300
2005-02-22,55.255340576171875,55.34943687185269,55.213523102335856,55.32330144924445,168000
2005-02-23,55.37554168701172,55.38599505186147,55.27099208526761,55.333720250989415,150200
2005-02-24,55.255340576171875,55.51671873213923,55.22397647371633,55.48535462968368,145200
2005-02-25,55.22919845581055,55.26056255446252,55.16123759097973,55.21874109738412,122900
2005-02-28,54.94165802001953,55.24485747497137,54.83710840922125,55.208264712360766,189300
2005-03-01,54.96783447265625,55.04624872777282,54.899873590341706,54.899873590341706,100100
2005-03-02,55.0305290222168,55.11417190672477,54.98348289091525,55.00962228940205,161600
2005-03-03,55.108943939208984,55.22917959015986,55.072351173843465,55.09849057266697,181200
2005-03-04,55.33371353149414,55.380763638383584,55.077564246508594,55.13506771697838,175000
